product_description,product_type,sentiment
#techcrunch #google This Post Has Nothing to do with #SXSW: EditorÛªs Note: This is a guest po... {link} #facebook @mention,9,2
Data is the new oil. (Companies like Google and Facebook have monopoly and terms of service to be wary of) - @mention #sxsw,3,1
"my sister is throwing the Google sxsw party tonigh Come!! {link} Bands, food, art, ice cream, nifty interactive #sxsw",3,3
"Clear +succinct visions make for great UX (think Apple, Google, Intuit)-we've seemed to forget the 'heart' of caring/purpose #sxsw #rhjr_ux5",9,2
40% of Google Maps use is mobile marissamayer #sxsw,9,3
"Grouped{in} guy: &quot;Do you have an iPhone, iPad, or iPod touch?&quot; Me: &quot;All of those.&quot; (I had the decency to blush, at least.) #sxsw",9,2
@mention did you snag an iPad 2 yesterday? thoughts so far? #SXSW,9,2
One lone dude awaits iPad 2 at AppleÛªs #SXSW store: Apple likely expected a bigger crowd forming at its South by ... {link},9,2
iPhone sharing???? #sxsw #shareable,9,2
@mention @mention Apple to open temporary store Friday in the Scarbrough Building at 6th and Congress #SxSW {link},9,2
I just saw someone filming the #sxsw trade show floor w a teeny hand held steady cam for his iPhone. #jealous,8,3
Google to launch Circles social network at #sxsw? {link},9,2
RT @mention YayRT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link},9,2
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,9,2
"Current #SXSW plan= paper notepad (#viztalk), iPhone and iPad. No keyboard computer (netbook or laptop). Going ultralite.",9,2
What happened to the Taxi Magic iPhone app? Now all I can do is call the cabs via it #sxsw,7,1
@mention jealous! I love both apple stores and #sxsw!,2,3
RT @mention Going to #SXSW? Checkin with friends while youÛªre in Austin with these location-based apps. {link} #iPhone,9,2
RT @mention Win a #sony Xperia Play #android phone at #SXSW (tuesday 3/15) details here: {link},0,3
SXSW Geek Games: Compete To Gain VIP Status &amp; Win Big Prizes: We all know... {link} #mashable #geek_games #sxsw #Cyber #iPhone,9,2
Google's Marissa Mayer: &quot;The mobile phone is a cursor that connects the physical and digital worlds.&quot; #sxsw,3,3
"I have a pen and paper, an iPhone, &amp;  iPad at my immediate use for this session on media analytics. Now just need to not hit the #sxsw wall.",9,2
"RT @mention via @mention Still a big line outside of Apple's pop-up shop, 3 days after iPad's debut. #sxsw",2,3
RT @mention I'd pay an iPad 2 to the person who gets the most Zaarly referrals by March 12th.  #winning #sxsw {link},9,2
"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",5,1
Poor Austin. RT @mention iPad 2 launch coincides with Fri afternoon of #SXSW. Apple store employees in Austin may begin weeping now.,9,2
Do you think it will be sucessful? @mention Google Possibly Launching New Social Network. #SXSW {link} ...,9,2
Waiting for a #SXSW session to start: Touching Stories - Designing Digital Magazines for the iPad,9,2
Apple gets to the core of #SXSW with it's pop up experiential shops #XM #Events {link},2,3
@mention How can any self-respecting Apple fanboy attend THE interactive event of the year without an #iPad2? #SXSWi #SXSW,6,3
RT: @mention RT @mention Traveling to #sxsw with your ipad 1 is so 3/10/2011,9,2
"RT @mention If you're at #sxsw, meet our author, and a host of Android devs, Sat. at 12:30pm, Hilton room 615AB.",9,2
RT RT @mention The iPad 2 Takes Over #SXSW [VIDEO] {link} RT @mention The iP... {link} #Vegas #News,6,3
RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw [Pop-POP!],9,2
True RT @mention From tablet/phone/laptop evidence at #SxSW they might as well call this country the United States of Apple. #sxswsa,9,2
@mention @mention @mention This is the press release for the iPad apps I am helping launch at #SXSW {link} #sxswi,9,2
How about we...chase sweet &amp; salty w/sweet tea vodka @mention the Google party? #SXSW (@mention GSD&amp;M) [pic]: {link},9,2
I'm loving the Apple pop-up in downtown office. But how long will it last after #SXSW for us locals? {link} {link},2,3
I'll be helping @mention at 12:30 for the Twitter for Good at #sxsw at Icenhaur's. Come and join us  {link},9,2
At the #yourmom iPad design talk. #SXSW,9,2
Excited to know more about Google Circles. Lucky folks at SXSW to be the first to see? Possible launch today: {link} #sxsw,5,3
Yay!  Love the iPad 2!  Perfectly portable for all of the travel we've been doing!  Thanks #sxsw pop-up store!,6,3
RT @mention Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp #mobile,7,3
RT @mention D/L @mention come to the UJ* booth in ACC hall 2! Snap pics &amp; send em to us #FightThePaddle! {link} #SXSW,9,2
Big ups to @mention for his AWESOME #Austin for newbies map: {link} #SXSW,9,2
Love Google Analytics! Thanks to the followers at #SXSW who took the time to check out my new post!,5,3
It's amazing that the Apple Pop-Up Austin Store was executed so quickly. 1 week {link} via @mention #SXSW,2,3
The #sxsw Pepsi Max Marketing Street Team has shown up to the PopUp Apple Store line handing out drinks &amp; Tshirts. {link},9,2
ÛÏ@mention The iPad 2 Takes Over #SXSW [VIDEO]: {link} via MashableÛ,9,2
OH SNAP!!!!  At an 80s party hosted by Google! #sxsw,9,3
"RT @mention RT @mention Hey Austin, know a little about #iPhone or #Android, love music &amp; wanna make $20/hour during #SXSW?  Please let me know.",9,2
I love the waves!!!!!! {link} iPad Webber #japan #sxsw,9,3
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,9,2
iOS app approval disrupts the continuous dev flow.  Android has been the preferred platform to fine tune and experiment #sxsw #groupchatapps,0,3
Or Droid RT @mention Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ?  #sxsw,8,1
#sxflip breaking(?) iPhone version of Flipboard is ther next product #sxsw yay!,7,3
RT never use mine on the go RT @mention &quot;You're probably using your iPad on the go.&quot; #disagree #SXSW #uxdes,9,0
I'm headed down to #SXSW to hear a talk on integrated social network dynamics and team synergy.  I've got my iPad ready to go.,6,3
Great Intro to #saveustechies #sxsw: VIDEO: the Surui Carbon Project from Google Earth Engine {link},5,3
Google possibly  launching a social media service - again... #sxsw {link},5,1
Line for iPads at #SXSW. Doesn't look too bad! (I waited 6.5 hours for an iPhone 4).,6,3
"First up: iPad Design Headaches (2 Tablets, Call in the Morning). #SXSW #tapworthy",6,2
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 

Something to keep watch",9,2
google is saving users 2 years of time with gps navigation using alternate routes w traffic #sxsw,3,3
@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link},7,3
&quot;Google maps: Route around traffic is saving our user 2 years every day.&quot; Marissa Mayer #sxsw,5,3
Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),3,3
it's too tempting walking by Apple store Austin that's selling iPad2 #sxsw,6,3
RT @mention ÛÏ@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesÛ sounds interesting,9,2
"@mention hello! Enjoy #Sxsw and ride anywhere in Austin for $10 . download the #GroundLink app, {link} booth 437",9,2
Left brain search = google. Right brain search = X. Best session today covering semantic web and recommendations #sxsw {link},3,3
#apple #popupstore #sxsw.  Get your #ipad here  0310apple {link},9,3
I think someone will be making a lot of money this week in iPhone international roaming charges #SXSW,9,2
